text,locale,ant-IN,ant-UK
Having the consistency of delicious taste is appreciated,en-IN,en-AU,en-IN
lovely building. the stage is very good. the dressing rooms are very clean but the staff were a little unpleasant in the cafe.,en-UK,en-AU,en-UK
"Good shop for bday celebration, snacks item. Good courteous behaviour of staff. But Coca-Cola items you should keep. Only Pepsi item not ok.",en-IN,en-IN,en-IN
"Beef nachos and sweet potato fries on a Sunday avo. The nachos were alright, the beef could have been a bit less dry and a slightly larger plate would have been nice. The sweet potato fries were quite good, but that sauce was peak; could almost drink that straight.",en-AU,en-AU,en-AU
"Decent hotel, good rooms but service can be better. Veg restaurants in ground floor good for south Indian dish. Restaurants on 6th floor is good for all. Waiters, receptionist can be more communicative to help customers. Parking slot is just 3 cars. Adjacent empty plot beside road can hold 8 cars.",en-IN,en-IN,en-UK
Food items are good but not extremely worthy. Servicing is good as well as they do n't make you wait a lot. I felt the dine in arrangement was bit crowded and needed some spacing. Other than that Haldiram is Haldiram wo n't disappoint in taste.,en-IN,en-IN,en-IN
"All was wonderful. The meat is to devour. The gyros wrap is a generous fill of flavour. With the venue, some of the earthy woodwork could do with a polished stain, but that is just my preference, as it just looks like it has been quickly slapped together. That is just my perfectionism. The bar area with the lights set the feeling of something special in a relaxed greek island vibe. The staff are prompt and professional. Most of all, it looks clean, and food handling practice excellent. Music is not too loud thankfully. Ca n't wait to see the vegetarian and sweets menu that is apparently coming in the near future. Highly recommend. Such a pleasure talking to Andrew too.",en-AU,en-AU,en-UK
"Nice budget pasta find, tasty, quick & hit the spot. Takeaway Good value, we did dine in for a little more Overall very happy.",en-AU,en-UK,en-UK
"Chicken biryani awesome, can be less Spicer. Kabab varieties are very tasty. Expect a mutton Paya as welcome drink",en-IN,en-AU,en-IN
"Really friendly staff and so accommodating to our needs. We were a large group that had to be out in time for the theatre but with our meals preordered, everything ran like clockwork. The food was delicious and we had a really social space so the perfect evening before watching family perform at the theatre. Thank you",en-UK,Can't say,en-UK
"Great groups of people gather there, the establishment clean and friendly.",en-AU,Can't say,en-IN
"Tasty food with reasonable price, I got good deal, thanks to swagruha foods",en-IN,en-IN,en-IN
"Great tasting food, tucked away in a nice little place. Service was a little slow but the staff were friendly and helpful. Excellent variety of pizzas! Definitely something to suit everyone. The small plates were also quite good. Would loved a lot more variety on pasta choices but the ragu was amazing! All in all, definitely one to visit if you love authentic Italian food!",en-AU,en-AU,en-UK
"I stayed there for about a week. Really enjoyed my stay there. Staff was cooperative. Had many options for breakfast like Aloo paratha, Cheese Sandwich, Kanda Poha etc. Dinner was also nice but unfortunately not a lot of customisation options were available. Rooms were a bit small but still were well maintained and comfortable. AC was okay. Housekeeping staff did a great job. Most important thing was the location its just a 5 mins walk from MSRDC bustop located near Vandana Theater.",en-IN,en-IN,en-UK
"Convenient location with good main street views. My chicken burger was tasty and fresh. Gluten-free options are available. I dined alone, staff were friendly, and other diners started talking to me. A good place to dine alone or with friends.",en-AU,en-UK,en-UK
Lovely pub but we only popped in for a cuppa. We really felt relaxed in The Roebuck & would definitely recommend it. We did n't have a chance to eat here so ca n't comment on the food. We were there around 10 am so it was quiet. The eveycould be another story.,en-UK,en-UK,en-AU
"The pub which is in the city centre is open for breakfast until 12 noon and offers free refills( all day every day) on tea and Lavazza coffee. For lunch and dinner., there are lighter bites, with deli deal options and vegetarian choices, gourmet burgers and freshly made pizza as well. Nice place for friendly meetings.",en-UK,en-AU,en-UK
"biggest advantage is walking distance from chennai central cost wise it's good but they add too much chilly, if you are not habitual of eating spicy food better to avoid",en-IN,en-IN,en-UK
My favorite and oldest theatre in tenali,en-IN,en-IN,Can't say
"It was a great place to sit in the shade and catch up with friends. The coffee was n't great, friendly staff and a good park for kids to play",en-AU,en-AU,en-UK
"I've dined here before with family & friends & the food was enjoyable. However, during my small family visit yesterday evening at pm,( only 3 of us) something was off. The waiter was in mood or probably that s how he generally is, just rude, and the lamb karahi had a unusual taste & smell either old or off lamb. We had to self-serve get menus / Tissues from bar, used side plates, remind about drinks half way through our meal etc!( Worse experience ever!) My daughter just had a few fries and plain naan saying "" lamb is really nasty & vile "" Unfortunately, both my wife and I experienced stomach pains upon returning home. In hindsight, I should have stuck with Shere Khan instead! Or gone to Sultans a few doors up.",en-UK,en-UK,en-UK
"Small, cozy place for quick bites, they have large variety of momo both veg and non-veg, this place has seating for 20 people small space but clean and good atmosphere.",en-IN,en-IN,Can't say
"Absolutely appalling service, told us to wait 10 mins and ended up being over half n hour, uneducated staff and chewy food.",en-IN,en-IN,en-UK
