city,location
Melbourne,"-37.8142,144.9631"
Sydney,"-33.8678,151.21"
Brisbane,"-27.4678,153.0281"
Perth,"-31.9559,115.8606"
Adelaide,"-34.9275,138.6"
Gold Coast,"-28.0167,153.4"
Cranbourne,"-38.0996,145.2834"
Canberra,"-35.2931,149.1269"
Central Coast,"-33.3,151.2"
Wollongong,"-34.4331,150.8831"
Ipswich,"-27.6144,152.7608"
Hobart,"-42.8806,147.325"
Geelong,"-38.15,144.35"
Townsville,"-19.25,146.8167"
Newcastle,"-32.9167,151.75"
Cairns,"-16.92,145.78"
Darwin,"-12.4381,130.8411"
Ballarat,"-37.5608,143.8475"
Toowoomba,"-27.5667,151.95"
Bendigo,"-36.75,144.2667"
Mandurah,"-32.5289,115.7231"
Launceston,"-41.4419,147.145"
Melton,"-37.6833,144.5833"
Mackay,"-21.1411,149.1858"
Bunbury,"-33.3272,115.6369"
Bundaberg,"-24.8661,152.3494"
Rockhampton,"-23.3781,150.5136"
Hervey Bay,"-25.29,152.84"
Buderim,"-26.6847,153.0532"
Wagga Wagga,"-35.1189,147.3689"
Pakenham,"-38.0712,145.4878"
Port Macquarie,"-31.4333,152.9"
Caloundra,"-26.8047,153.1338"
Dubbo,"-32.2569,148.6011"
Orange,"-33.2833,149.1"
Frankston,"-38.1333,145.1167"
Sunbury,"-37.5811,144.7139"
Gladstone,"-23.8427,151.2555"
Mildura,"-34.1889,142.1583"
Bathurst,"-33.42,149.5778"
Palmerston,"-12.4806,130.9831"
Geraldton,"-28.7744,114.6089"
Southport,"-27.9678,153.4136"
Shepparton,"-36.3833,145.4"
Kalgoorlie,"-30.7489,121.4658"
Dandenong,"-37.981,145.215"
Warrnambool,"-38.3833,142.4833"
Quakers Hill,"-33.7361,150.8778"
Caboolture,"-27.085,152.9513"
Coffs Harbour,"-30.3022,153.1189"
Mount Gambier,"-37.8294,140.7828"
Busselton,"-33.6478,115.3458"
Albany,"-35.0228,117.8814"
Traralgon,"-38.1958,146.5403"
Alice Springs,"-23.7,133.87"
Warragul,"-38.15,145.9333"
Devonport,"-41.18,146.3503"
Goulburn,"-34.7547,149.6186"
Whyalla,"-33.0333,137.5667"
Armidale,"-30.5,151.65"
Wodonga,"-36.1214,146.8881"
Yaraka,"-24.8819,144.078"
Kwinana,"-32.2394,115.7702"
Burnie,"-41.0636,145.8753"
Narangba,"-27.2022,152.9591"
Griffith,"-34.29,146.04"
Mount Eliza,"-38.189,145.092"
Broken Hill,"-31.95,141.4667"
Wangaratta,"-36.3583,146.3125"
Karratha,"-20.7364,116.8464"
Nerang,"-27.9902,153.3358"
Maroochydore,"-26.6553,153.0932"
Taree,"-31.9,152.45"
Banora Point,"-28.2167,153.5333"
Lara,"-38.0167,144.4167"
Maryborough,"-25.5375,152.7019"
Ulladulla,"-35.3486,150.4678"
Rochedale,"-27.5991,153.1297"
Cessnock,"-32.8342,151.3555"
Horsham,"-36.7167,142.2"
Echuca,"-36.1333,144.75"
Murray Bridge,"-35.117,139.267"
Wallan,"-37.4167,144.9833"
Australind,"-33.28,115.726"
Ormeau,"-27.7966,153.26"
Barwon Heads,"-38.25,144.5167"
Port Lincoln,"-34.7322,135.8586"
Emerald,"-23.5208,148.1619"
Mount Barker,"-35.0667,138.85"
Morwell,"-38.2333,146.4"
Forster,"-32.1806,152.5117"
Sale,"-38.1,147.0667"
Coomera,"-27.8722,153.3147"
Penrith,"-33.7511,150.6942"
Torquay,"-38.3333,144.3167"
Goonellabah,"-28.8167,153.3167"
Raymond Terrace,"-32.7615,151.7441"
Leopold,"-38.1892,144.4644"
Campbelltown,"-34.0667,150.8167"
Drouin,"-38.1333,145.85"
Warwick,"-28.2152,152.0352"
Dalby,"-27.1813,151.2661"
Rutherford,"-32.7153,151.525"
Broome,"-17.9619,122.2361"
Somerville,"-38.226,145.177"
Gracemere,"-23.4391,150.4558"
Batemans Bay,"-35.7081,150.1744"
Nambour,"-26.6269,152.9591"
Corinda,"-27.4858,153.1011"
Muswellbrook,"-32.2656,150.8886"
Gympie,"-26.19,152.6655"
Kingston,"-42.9769,147.3083"
Grafton,"-29.6833,152.9333"
Kangaroo Flat,"-36.7833,144.2333"
Bowral,"-34.4792,150.4181"
Benalla,"-36.5519,145.9817"
Kingaroy,"-26.541,151.84"
