city,location
Delhi,"28.61,77.23"
Mumbai,"19.0761,72.8775"
Kolkāta,"22.5675,88.37"
Bangalore,"12.9789,77.5917"
Chennai,"13.0825,80.275"
Hyderābād,"17.3617,78.4747"
Pune,"18.5203,73.8567"
Ahmedabad,"23.0225,72.5714"
Sūrat,"21.1702,72.8311"
Lucknow,"26.85,80.95"
Jaipur,"26.9,75.8"
Kanpur,"26.4499,80.3319"
Mirzāpur,"25.146,82.569"
Nāgpur,"21.1497,79.0806"
Ghāziābād,"28.67,77.42"
Supaul,"26.126,86.605"
Vadodara,"22.3,73.2"
Rājkot,"22.3,70.7833"
Vishākhapatnam,"17.7042,83.2978"
Indore,"22.7167,75.8472"
Thāne,"19.1972,72.9722"
Bhopāl,"23.2599,77.4126"
Pimpri-Chinchwad,"18.6186,73.8037"
Patna,"25.594,85.1376"
Bilāspur,"22.09,82.15"
Ludhiāna,"30.91,75.85"
Āgra,"27.18,78.02"
Madurai,"9.9252,78.1198"
Jamshedpur,"22.7925,86.1842"
Prayagraj,"25.4358,81.8464"
Nāsik,"19.9975,73.7898"
Farīdābād,"28.4211,77.3078"
Meerut,"28.98,77.71"
Jabalpur,"23.1667,79.9333"
Kalyān,"19.2502,73.1602"
Vasai-Virar,"19.3607,72.7956"
Najafgarh,"28.6092,76.9798"
Vārānasi,"25.3189,83.0128"
Srīnagar,"34.09,74.79"
Aurangābād,"19.88,75.32"
Dhanbād,"23.7998,86.4305"
Amritsar,"31.64,74.86"
Alīgarh,"27.88,78.08"
Guwāhāti,"26.1722,91.7458"
Hāora,"22.58,88.3294"
Rānchi,"23.36,85.33"
Gwalior,"26.2124,78.1772"
Chandīgarh,"30.75,76.78"
Haldwāni,"29.22,79.52"
Vijayavāda,"16.5193,80.6305"
Jodhpur,"26.28,73.02"
Raipur,"21.2444,81.6306"
Kota,"25.18,75.83"
Bareilly,"28.364,79.415"
Coimbatore,"11.0167,76.9556"
Solāpur,"17.68,75.92"
Hubli,"15.3502,75.1376"
Trichinopoly,"10.7903,78.7047"
Morādābād,"28.8319,78.7764"
Tiruppūr,"11.1085,77.3411"
Gurgaon,"28.456,77.029"
Jalandhar,"31.2569,75.4432"
Bhubaneshwar,"20.2644,85.8281"
Bhayandar,"19.29,72.85"
Patiāla,"30.34,76.38"
Shīshgarh,"28.72,79.32"
Thiruvananthapuram,"8.5241,76.9366"
Bhiwandi,"19.2967,73.0631"
Sahāranpur,"29.964,77.546"
Warangal,"17.9689,79.5941"
Shiliguri,"26.71,88.43"
Salem,"11.65,78.15"
Kochi,"9.9312,76.2673"
Dhūlia,"20.8997,74.7697"
Gorakhpur,"26.7637,83.4039"
Guntūr,"16.3008,80.4428"
Bhāngar,"22.58,88.42"
Narela,"28.8527,77.0929"
Karaikandi,"24.8309,92.6143"
Bhāvnagar,"21.76,72.15"
Noida,"28.57,77.32"
Bhilai,"21.21,81.38"
Mangalore,"12.8681,74.8425"
Bihtā,"25.5619,84.87"
Cuttack,"20.5236,85.7881"
Salīmpur,"26.3,83.9167"
Raurkela,"22.2492,84.8828"
Tumkūr,"13.34,77.1"
Tenkāsi,"8.9564,77.3152"
Dehra Dūn,"30.345,78.029"
Kottayam,"9.5916,76.5222"
Durgāpur,"23.55,87.32"
Āsansol,"23.68,86.99"
Bokaro Steel City,"23.67,86.15"
Kolhāpur,"16.6917,74.2333"
Nava Raipur,"21.161,81.787"
Ajmer,"26.4499,74.6399"
Nānded,"19.15,77.3"
Amrāvati,"20.9258,77.7647"
