text,label,prediction,is_correct,variety,source
"Ordered red hot fried and hot honey fried. The taste is good for a fried chicken. The sauce is not coated evenly., but that's okay I guess. The size is big, that's good.",1,1,True,en-AU,Google
"I wish we had found this place for lunch, but instead, we tried one of the other places but stopped here for Bingsu. From what we did see, the food looks like a winner here, so I will be back to try on the next trip. Serving was decent and a great concept for a restaurant with various Asian Cuisine options.",1,1,True,en-AU,Google
"If you're in the mood for a culinary adventure, look no further than Starfish. Nestled alongside a picturesque riverside patio, this gem of a bistro offers an exquisite selection of seafood and wood-fired pizza that will leave your taste buds dancing with delight. The standout for me was the delectable Thai Chicken Pizza. The harmonious blend of zesty Thai flavors with succulent chicken and perfectly baked crust was nothing short of a taste revelation. It's a bold fusion that pays off in spades-a must-try for any pizza enthusiast. Equally impressive were the Curly Fries. Golden and crispy on the outside, with just the right amount of seasoning, they were a delightful accompaniment to our meal. These fries elevated the experience, adding an extra layer of satisfaction.",1,1,True,en-AU,Google
First time at a Hogs Breath restaurant and was very happy with my food. I had the Steak with curly fries & mac n cheese. The steak was cooked perfectly and the fries were delicious with the gravy. Only down side is the mac n cheese was cold and the fries were nt very warm.,1,1,True,en-AU,Google
I honestly love eating the food here its my favourite go to Chinese for Kalgoorlie. I kinda miss the chow mein thou not a fan of the thick egg noodles but it will do. Lemon Chicken and Fried Rice are my fave!!!! The lady that does nights is so lovely.,1,1,True,en-AU,Google
My partner had a deliciously creamy risotto and a glass of wine. I just had a garden salad which was also fresh and tasty. Service was prompt and courteous. Conveniently located right next door to cinema.,1,1,True,en-AU,Google
"A little bit of history tucked away between the bridges. A beautiful view across the lake from this point and also of the library. Just be aware of the speeding cyclists and joggers on the path, it can be hazardous if you are distracted by the surroundings.",1,1,True,en-AU,Google
"Although they did n't have Cornish pasties, their plain pasties were tasty old-fashioned type good wholesome food. Great vanilla slice and custard tart. We enjoyed our lunch sitting out the front on comfortable chair and table with our dogs",1,1,True,en-AU,Google
Excellent museum for crystal lovers  you can see different collection of crystals.. worth visit if you are lover of fossils and crystals  unless you can avoid  car parking is available on road side  for us it took 40 mins to spend time in Museum  ideally took 1 hour approximately ,1,1,True,en-AU,Google
The longest I had to wait in a drive thru. 20 minutes. Really ? Burger Urge serves food quicker ,0,0,True,en-AU,Google
"The Junction Inn Hotel is a busy, vibrant venue in which to enjoy some excellent food and river views. Kudos to the friendly, helpful staff. An enjoyable Thursday lunch.",1,1,True,en-AU,Google
The room had all the facilities but not quite as nice as the other room previously. It needs refurbishment with a better sink and hooks in the bathroom.,0,0,True,en-AU,Google
"The food is quite nice-stars I give it. The atmosphere is excellent, the outside area is amazing on a clear autumn day with all the leaves offering up a pleasant color palette. Service was a bit of a hit and miss, it a busy place cuz it popular but there are other busy and popular places in orange where the wait on food is less than an hour. The warm smiling lady was lovely but did n't deliver the outcome. The cool, less friendly young lad however was more efficient. It would be nice to have both:.",1,1,True,en-AU,Google
Perfectly cooked veggie toastie-inside and out! Generous amount of filling. Done justice to a vegetarian. Excellent service too,1,1,True,en-AU,Google
Great screen quality but the cinemas themselves were filthy and looks like the theatre was not cleaned between sessions. Had to brush a handful of popcorn and move a drink off my seat. Also no recliners in the Xtremescreen theatre despite the ticket cost.,0,0,True,en-AU,Google
"Had a solid meal at this Mexican spot near the busy train station. Food's a bit pricey, but you wo n't leave hungry  portions are big. Ambience is alright, nothing fancy. Service is super quick, perfect for a fast bite in the midst of the hustle and bustle. Overall, good if you're up for tasty Mexican, do n't mind spending a bit more, and want a speedy meal.",1,1,True,en-AU,Google
"Bad attitude from managment. Workers were nice though, nice venue and gaming room. Good selection of drinks. Male manager seems like he's burnt out.",1,0,False,en-AU,Google
"We ordered their special "" spice lovers only "" chef special dish, with their maximum spice level. The naan was really nice, good flavour profile and soft. The curry had a nice enough flavour but it was incredibly disappointing in spice and heat. We( my wife and I) thought perhaps we had developed too much spice tolerance, so invited our kids to taste the dish. Our ten year old daughter said it was nice but she's eaten spicier.... If I am going to pay sixty dollars and select the "" indian hot "" box, I would expect something that is at least a little too hot for a ten year old girl....",0,0,True,en-AU,Google
"Terrific little art gallery. Terrific cafe too. We been here three times. Three times it been great. Dishes are good, coffees are good. Nice to sit in the back area too on a nice day. Highly recommended.",1,1,True,en-AU,Google
Honey prawns were great Pad thai felt like the sauce was over powering But still good.,1,1,True,en-AU,Google
Did n't stay in motel. Went for coffee only. Great coffee. Beautiful view. Shame the Cafe area shuts so early in the morning.,1,1,True,en-AU,Google
"I have tried twice now to come back since you've moved, and it is just not good anymore. Apart from it being a large space for meetings, there is no benefit to come here in anymore. Your service is not there at all, not even a' hello or thank you', just drop your coffee on your table and go back to talking to everyone behind the counter. Your coffees taste boring because their is no ambience, its just a large room with rude staff. Your toasties used to be amazing, now it seems to just be the cheapest sandwhich bread ? Now I just go to the many other places around the corner from you that have AMAZING toasties for half the price. Honestly, really dissappointed. This used to be my family and friends go-to.... now its just not worth it.",0,0,True,en-AU,Google
"Tasty food. We ordered the Apple Pie Crpes Flamb( Single) and French Fries( Bowl). Personally, we found the Apple Pie Crpes Flamb( Single) overly sweet. The French Fries( Bowl) were cooked to perfection. We enjoyed the Franquette Black Garlic Aioli that was paired with it. Service-professional and attentive. This restaurant is different to all the others in Bowral. Highly recommended if you're in the area.",1,1,True,en-AU,Google
"Ordered first time ever, takeaway delivered which was on time. Customer Service by phone was good. Marinara found it dry and bland, so this did n't go down well. Pizza base was so much like dry bread. Toppings were reasonable though. The Penne Napolitana good serve tub but again, found it quite dry and bland. The Napoli sauce was claggy like a dry paste, so that did n't go down well. The chicken souvlaki was a very good decent serve. It actually tasted really good and flavourful! So far, I would only recommend the chicken souvlaki.",0,0,True,en-AU,Google
"Love the hawker centre in the market, and the cheap massage parlours the markets open until late so perfect for the tourist or locals that want to explore & eat even if after 8 pm.",1,1,True,en-AU,Google
"Disappointing lunch experience in a country bakery. Pies are not hot, too salty and had big chunks of fat in them. McDonalds would have been a healthier option! At least they have certain standards. The bakery itself is tired looking and three-quarters of the tables have n't been cleared.",0,0,True,en-AU,Google
"Very cool place, and tasty sandwich, I would love a ceramic or glass cup though rather than using plastic and forced to create more waste.",1,1,True,en-AU,Google
The only thing worth seeing in Muswellbrook. Even better if you get a nice sunny day. Somewhat disappointing that it is n't a real dog but a statue of one...,1,1,True,en-AU,Google
Lovely little Cafe in central Bunbury. Small group of us ordered food and drinks. Service was quick and friendly. Meals were of good size and great quality. Apple pie was my choice! Certainly value for money. Very clean and tidy premises. Only negative is the location of the toilets. I do not like passing through service and storage areas. I would recommend if they do n't have to have public toilets then just close them off. There are plenty of conveniences nearby.,1,1,True,en-AU,Google
"What a cool experience. Went with a group, 4 of us eating. Order a BBQ set which fed us all well. Came with a lovely salad & other side compliments. Thoroughly enjoyed cooking the meant ourselves. I also order a serve of the steamed mini dumplings which were delicious. They were very accommodating to us paying each of our share separately.",1,1,True,en-AU,Google
"Hi, Just ordered a value feast via the drive thru and they forgot my regular Potato and Gravy, and sauces. Service was polite but disappointed to be missing a pretty major component of the meal. I now at home wondering if it my fault I did n't double check my order before I left, or wondering if this is ultimately the fault of KFC. At least I have this warm drink and stale chips to enjoy, actually stoked the chips were included at this rate.",0,0,True,en-AU,Google
The waiting staff in the restaurant are not attentive enough. Dinner plates still on the table almost an hour after the main course & no desert menu offered or coffee. Shame I enjoyed the pork cous cous!,0,0,True,en-AU,Google
