text,label,prediction,is_correct,variety,source
"Centrum is a very good hotel and located right in place. Mathura bus stand is just a neighbour and the train station is also not too far. Rooms are big enough to accommodate committed people but house keeping service can be one of the best in cost range, they have their own parking for the guests but do n't have dorm for drivers, so you need to arrange a stay for your driver. They have a very good and known food stall, where you can enjoy a yummy veg meal, sweats etc. You can get room service from their restaurant. There are multiple other hotels also if you want to eat somewhere outside.",1,1,True,en-IN,Google
Very famous and renowned bhaaji box shop. Quality is good. Little overpriced.,1,1,True,en-IN,Google
Waited for our order for 30 mins but koi baat nhi. The attendee was nice,0,0,True,en-IN,Google
Good place... nicee menu so many varieties but to be frank I was little disappointed with two of their pastries I am adding the photos this rainbow one and white forest I could n't really understand the taste!!!! It had no taste.... otherwise Watever pastries I have tried I loved it...,0,1,False,en-IN,Google
This restaurant has a really good taste. The tandoori chicken here is juicy n full of taste. I had taken many parcels from here n ordered the same too. U get the same taste everytime. Biryani is also good.,1,1,True,en-IN,Google
"It's a holy temple where Maa Harachandi worshipped.. The temple is located near to the sea beach, puri-konark road. Very beautiful site scene and now a days you can enjoy the sea rides. In the month of December, many tourist comes here for picnic.",1,1,True,en-IN,Google
"Nice vegetarian restaurant with an indian food menu. The service is excellent and the food was nice and fresh. We ordered dhal makhani, kofta malai with while gravy and a veg dish. The food was enjoyable and the dishes presented were served in a good quantity.",1,1,True,en-IN,Google
"The only items that were was just ok were masala paapad and masala peanut. The kabab fry was only bones and all maida corn flour, the lollypop was tasteless, rasam mediocre, malai kabab was sweet!!!. The only thing that was good was the service with friendly and courteous staff. Nothing that stands out apart from fact that this restaurant is located within the famed Jewel Rock compound.",0,0,True,en-IN,Google
"If you're looking for authentic, high-quality sweets made with desi ghee, Ganesh Sweet should be your go-to. Highly recommended!",1,1,True,en-IN,Google
"A very good restaurant in the centre of the city. Very reasonable price. Good quality and quantity of food. Shawarma is just wow. The best shawarma in the city. Their mayonnaise is the highlight. Tandoori chicken is too good, must try. Good service, but they take much time. Food and service are really good. It would be really great if they could maintain cleanliness.. it's actually little dirty. It's hight time that they need to change the menu card, because it's tooooooo old and dirty.. toilet is again very dirty.",0,1,False,en-IN,Google
"Hall is normal is good but for owner must renovation the movie hall, sound system, seating place",0,1,False,en-IN,Google
"Lovely place for relaxation in the evening! People of all ages come here for recreation and relaxation. Many party meetings and also public meetings are also arranged here. Even if a function is blocking the road, alternative is readily available nearby, Lovely view of Hamirsar Lake also is seen from here but to enable the view you need water in the Lake!",1,1,True,en-IN,Google
"Nice experience there, food were good, and employee there were attentive, they were take care of customer from entry to serve to exit of customer... I go with two friends of mine they also tell it was good experience there we would love to recommend people to visit there if you looking for...",1,1,True,en-IN,Google
"The place looks excellent from outside, the decor is quite cool and everything but staying there reveals the real place! Firstly, some ground floor rooms are abominable. Also some upper floor rooms have old window AC and old TV! Now coming to the service, the buffet breakfast is really small with about 4 items and although they claim that it starts at 7, you can not get anything before and at times even before 8! The bar is kinda not up to the standards of a family restaurant. It gives off a seedy vibe which makes it not a good place to be with one family. While the Indian food served in this place is quite delectable the Chinese food is a real horror! There's no swimming pool. Also if you want to hang out your wet clothes from a trip to the beach they do not offer a place for that. You have to go for their highly expensive laundry service instead. Also, it's located quite a bit away from Aberdeen Bazar",0,0,True,en-IN,Google
"Rehmaniya Family Restaurant Is very nice Hotel, Separate Tables Availble, good and Fast service, Testy Food",1,1,True,en-IN,Google
I really feel NYC at this place..,1,1,True,en-IN,Google
"On the road, easy to notice. AC / Non-AC options available Has variety of options for eating. Like Chinese, sandwiches, pav bhaji, etc. Mostly fast food. We ordered veg cheese grilled sandwich. It was awesome. Same goes for pav bhaji. Paneer chilly dry was not so good. Tawa pulav was okay. Overall good place to hangout and eat.",1,1,True,en-IN,Google
"Maharashtrian thalli, roti dal sabji in cheaper rate available at simran khanawal golbazar, sabjimandi chandrapur",1,1,True,en-IN,Google
"Serves the purpose it's built for in a wonderful way!! Spacious main hall, Dining hall. Well maintained, Ok Rest rooms!! Narrow approach roads n limited parking space is to be managed.",1,1,True,en-IN,Google
It was best and only available food and tiffin center in that road,1,1,True,en-IN,Google
"GUC canteen located in front of the passport office. The food taste was average. I bought the fish fry it was just one medium size piece, that piece was 200 rupees. I forgive the price if it tastes good. Unfortunately the waiter praised the fish fry more but the fish fry taste was pretty average. The ambience was good and too small",0,0,True,en-IN,Google
