text,label,prediction,is_correct,variety,source
"Looks cool, staff are fun and efficient, and most importantly the food was delicious. Had a ln early dinner of the tapas and fried chicken burger. Tapas had the best corn fritters I can remember, tasty salmon on fried wontons, meat balls with cumin( yum), and some sticky pork belly. Fried chicken burger had crunchy tenderloins and was good and tasty! Only advice would be to get those chips crunchier Coffee( I had two) chai, and iced chocolate were also of a high standard. Great cafe for the town.",0,0,True,en-AU,Google
"Chicken recipes are nice and decent quality. They have a larger menu than the usual Broaster does, such as wingettes in different flavours. Chicken is definitely genuinely halal. The only issues are that customer service can be average at times due to communication barriers. Can be noisy if dining in, sometimes parking is difficult to find. Other than those, I'm sure you will enjoy their chicken.",0,0,True,en-AU,Google
"Authentic Thai. Place was relatively clean and well presented. We ordered a variety of meals and they came out in a timely fashion. One thing I would have to pick on is their attention to detail, as we asked for a very mild curry but got a very hot curry instead. And asked for coconut rice but was given normal jasmine rice, which they did rectify. Service was ok and the food was great in taste. Not badly priced either.",0,0,True,en-AU,Google
"The pies are pretty good, but the Banh Mi rolls are even better.",0,0,True,en-AU,Google
"Very enjoyable experience, however the current exhibition is a bit plain and low effort. Previously they have had much more interesting one afor the kids, like Lego car racing( with lots of big drops) or massive foam blocks from kids to build / climb with. Still, has lots of great modern art and a clay creation area.",0,1,False,en-AU,Google
"I really wanted to give this place higher rating, but unfortunately could n't find a good enough reason to. Starting with the positive, prices are super competitive, most dishes are under 16. However, moving to the negative, dishes are on the small side, my kids and wife( not big eaters) asked to stop at a bakery after our meal as they were hungry. We also felt quality of food could have been much better. A few examples:-The cinnamon toast was flooded with butter, we could n't finish it.-Poached eggs on the Benedict were over cooked( like hard boiled egg)-Dishes were all super basic in execution, an average home cook could have easily done a better job. To top it all, we set outside in area which was nice enough but swarming with flies. I reckon the restaurant can do much more to deal with that, it much more than small nuisance ",1,1,True,en-AU,Google
Tried this place because it came recommended by my parents. I enjoyed the Chicken 65 buriyani. The Chicken 65 was soo tasty. Everything was tasty it sure cleared my sinuses with the right amount of spices. I really liked the appetiser of the Puri filled tamarind chutney and yogurt. Soo good. Enjoyed saag paneer and did n't really have time goat curry as the buriyani was enough. I got that for my aunt. Loved the roti and naans even if a bit over priced. The food is definitely tasty and nice. However a bit pricey. I always think Indian food is pricey. But I could have ordered only 1 buriyani. I downloaded the app to get reward points and 5 off. My bill was still I did take all the leftovers home. Waiters were very nice and food came out fast. So sad there was n't tea left to order.,0,0,True,en-AU,Google
Very nice atmosphere with amazing ambient lighting. Service was slightly slow but this was due to the amount of customers at the time. Workers were kind and play area is large for kids with a clean look overall.,0,0,True,en-AU,Google
"Different and fun. Very nice food, but on the spicier side of things. The mild options are good alternative for those who do not like spicy food. Staff is very helpful, patient, and explain the menu very well. Lovely decor, super spacious and comfortable seating options. Live music is an option from pm onwards. It great alternative for functions. You never know until you try I gave it 4 stars because the napkins could be a lot better.",0,1,False,en-AU,Google
"always good to still have this around-and i think the automated ordering machines did help clear up the queues you used to get a lot of. you ca n't really expect much-it's like most other McDonalds. but again, always handy to have this near you for that quick easy bite.",0,0,True,en-AU,Google
I used to love this shop but the fish I got was so thin and was very dry.,0,1,False,en-AU,Google
"The staff were great. Funny, friendly, relaxed. We came in to enquire about a show and when we came back they remember what we wanted. They were very nice to the grandchild we had with us. The theatre is a little hard to find being upstairs and entry through a little gate. There are a few theatres here, 4 or 5 I think so they can shake multiple shows. 3 hours parking outside although that can be very crowded sure to ask them other shops. A credit too Batemans Bay",0,0,True,en-AU,Google
The only thing worth seeing in Muswellbrook. Even better if you get a nice sunny day. Somewhat disappointing that it is n't a real dog but a statue of one...,0,1,False,en-AU,Google
Ooooft this pizza is actually very good considering it's in Benalla. A great choice if you feel like a fat night in or a good hangover cure. There's the typical non Italian pizza options but the flavours make up for that. Definitely a good pizza place for a no frills treat.,0,1,False,en-AU,Google
