text,label,prediction,is_correct,variety,source
Generous portions and lovely food. We have just moved into the area and will use this take away again. Our only critism is that the prawn toast was not as good as the other items.,0,0,True,en-UK,Google
"apples, I eat pizza from Domino and only here the cheese is missing I will order 1 pizza in the same way next week and if it still comes without cheese I will stop buying from you.",0,1,False,en-UK,Google
"Good place to have groups, talks extra good food at hummingbird cafe",0,0,True,en-UK,Google
Booked the hotel as we were going to a concert at the utilita arena. It was just a few minutes walk away as was new street station so the location was perfect. Nice clean room with a great shower. Only small complaint would be the pillows were uncomfortable but that's all. Complimentary coffee machine downstairs and nice staff. Would definitely book there again,0,0,True,en-UK,Google
"Having had burgers and fries in various continents and brands such as McDonalds, Shake Shack, 5Guys, CaliBurger, Triple O and Burger King, I have to say this branch even though smaller, has minimal seats cooks a good burger and especially proper potatoe fries freshly made unlike a competitor with golden arches that consistently serves soggy, warm, over salted, processed fries. You can learn a lot from Burger King with properly cooked meals golden arches. Also the scented palm oil that golden arches are known use really smells and impacts food negatively especially when the food temperature drops and gets cold as palm oil is solid at room temperature. As with many mainstream burger chains and franchises I find the burgers not served up to 71c cooking temperature. Its always warm and there seems, in the UK no Food and Safety, like the US to require cooking and serving your burger hot at Burger King seriously fix your app. Heck contact me and I'll work with you on it.",0,1,False,en-UK,Google
Gorgeous college with lovely places to walk around and soak the green air and the nature! Deer park in the middle always make me feel happy and having such a vast ground space really gives a good amount of walking in the college. I love the chapel and the quads as well. Would have loved to seen the dining hall as well but this seems to not be allowed for visitors. Would love to come back again to see the changes in the seasons!,0,0,True,en-UK,Google
"I come here for really quick small snacks rather than a real. For under 2 you can get a pretty reasonable taco to tide you over when you just need a real quick bite. Clean, tidy place, service pretty quick. The taco may not be up to Mexican street food standards but for fast food it decent enough.",0,0,True,en-UK,Google
"Library is pretty good based on design. But it not actually made for the purpose of "" library "". Went three times to study for my exams, people are screaming around and talking loudly, using phone. Staff themselves are so loud when lending books etc. staff should be taught how to maintain the decorum in library. The reason I went three times is to compare the level and hoping other days were better. But no, library always sounds like a fish market starting from around until it closes.",0,1,False,en-UK,Google
"I had a disappointing experience at the restaurant last night When I went to order at the counter, the staff told me to use the self-service kiosks instead. While I understand they are promoting this new technology, the young blonde woman came across as rude in her approach. I did n't receive a paper receipt at the end. After waiting 10 minutes to receive my food, I noticed concerning practices like staff picking their nose while preparing food! Keeping food warm in the fry station. Multiple staff members had untidy uniforms with only one wearing an apron, which made me wonder about the general hygiene standards. While most of the staff seemed totally lost, only two employees who stood out in a positive way and knew what they were doing I do n't know their names but the tall man with glasses who was out the back and the female employee bagging orders at the fry station. I left feeling disappointed by the unclean conditions, poor service and difficult technology. I hope Burger King can work out these kinks because I believe there is an opportunity to improve.",0,0,True,en-UK,Google
Online check in deadly. Twin room we had was quiet small hence 3 star only 2 plugs one behind the tv and one in the corner too far from the bed. The room was pricey for what it was. Breakfast was great nice range. Bacon was inedible and greasy and sausages a little pale but staff top notch and no waiting any long time for a table,0,1,False,en-UK,Google
"Great place to stay on a budget! All the staff were welcoming and friendly. Hotel was safe and secure, lots of space for moving around and exploring. Got a great sleep too every night! Great location next to the Victorian tram to the beach. Only downside was the bathroom could be cleaner.",0,0,True,en-UK,Google
I do n't like it special I do n't recommend for anyone do n't go this restaurant:,0,1,False,en-UK,Google
