text,label,prediction,is_correct,variety,source
Free museum that currently has an interesting exhibition on 100 years and a 100 objects. Lots of locally found artefacts so very interesting. One star less as does not have a public toilet.,1,1,True,en-UK,Google
"We visited the Ivy for a birthday celebration and were very disappointed. The server did not understand the menu and gave us wrong information regarding vegetarian options multiple times. We were then given a vegetarian menu and upon ordering, we were told the menu was out of date and the options had changed / were unavailable. The afternoon tea was also below the usual standard as the sandwiches were dry / stale and the chocolate dessert was topped with canned whipped cream, followed by a whole pot of watery chocolate sauce. The other cakes were also underwhelming and it was no surprise the table next to us left their cakes uneaten. Very disappointing experience.",0,0,True,en-UK,Google
"Clean and tidy, nice interior. Drinks can be pricey but not much more than anywhere else. Plenty of big screen tv around for watching live sport. Had food here a few times and always been satisfied. One of the better pubs in Scarborough.",1,1,True,en-UK,Google
"Food was great and I recommend as it matched my pakistani taste buds  but following observations. 1. No menu card( I do n't know why) 2. Ordered lamb Haneed, One portion with rice, but if one person is eating they charge 15, if two persons are eating they charge 19 for the same quantity of food, reason, I do n't know. 3. I did n't get the free banana, other tables where Africans were eating, they gave banana, not to us. Sad. 4. I was with family, so sat in family area which was alright  but it was noisy in the restaurant. 5. Chili sauce, was very very very hot, did n't like it  but lemon soup was fantastic and soooper yummy. 6. Staff was n't understanding english much  it was tough to communicate.. but they were friendly. 7. I will still recommend for the taste.",1,1,True,en-UK,Google
"I had a Rogan Josh curry with chicken and Garlic naan bread, it was nice. The food was filling and a good portion, I really enjoyed the chicken. My only gripe is that it did take a while to turn up, about an hour but they did say 45 minutes to an hour on the phone so I'm appreciative that they were honest about the wait time, only reason I'm not giving 5 stars, will be ordering again though as the curry was flavorful and the chicken was really good.",1,1,True,en-UK,Google
"The pub fills up quickly. You find your own table and then go order and pay at the bar. We sat where they announced the discovery of DNA. Nice atmosphere, food was quite good actually especially the aged ribeye. If you do not drink beer, drinks could be a bit limited in choice. We always try to pop in for a meal when we visit Cambridge.",1,1,True,en-UK,Google
"Overall for a first time we would give it out of 5. Quiet midweek night out for 6 of us and pretty empty but inside is nice and inviting. The 2 staff that was on were nice friendly and happy to help with questions so 5 stars with service. Used a coupon for a free garlic bread which was pretty small so we got a small bit each but was average taste but free so ca n't complain on that. Drinks. Cokes etc came in bottles nicely presented with glass ice lemon but they are small and draughts are better option maybe. Tried a new cocktail which I think is pricey at nearly 9 and small no razzle dazzle. Food. Most had safer option of spaghetti bolognese and while you got a big bowl full, it was alot of spaghetti and not enough sauce which was pretty standard in flavour and we did n't think was worth nearly 15 same price as the pizza its alot and both were inconsistent in size as you can see in pics with one far smaller than the other. I tried a new dish off the new signature beef and chianti ragu. Looked amazing online with the description. Pasta tasted lovely, good presentation and filling however again was was missing the cheese topping and tasted good but after a few mouthfuls I was not tasting the flavours I expected but was similar to the bolognese sauce. 3 people had desserts, 2 melting puddings and 1 brownie sundae which had nice presentation again roughly 7. I would visit again but with not such a big group due to costs but we still enjoyed the evening and enjoyable just not fantastic. I m no food critic just an honest reviewer:",1,1,True,en-UK,Google
"Went on a team night out, we all had fun, drinks were good price. All staff were really friendly and helpful",1,1,True,en-UK,Google
"Stayed here for a week. The landlord was lovely, very informative. The location was great easy to get to Staffordshire University. The rooms were tidy spacious and safe. There is free car parking next to the pub. My only issue was on one night there was music until 1130 at night but it's a pub and otherwise it was fine.",1,1,True,en-UK,Google
"A well structured market, well known for varieties of products sold across diverse cultures and race. I so much love the friendliness of sellers mostly the food market section. Fruits, plantains, sea food, turkey, soft and hard chicken, home appliances, clothes,... just to mention a few. As an Nigerian, you would get almost all that you want except the green veggies which is not on sale( just the pumpkin and sometimes water leaf). As an heads up, plan what you need else, you might buy much more than you need.",1,1,True,en-UK,Google
