text,label,prediction,is_correct,variety,source
"You get some really good food here. It's overpriced for sure but the food is really good. We dined in a very busy and jam packed time, yet I ca n't fault the quality of food. The butter chicken was really good as were the garlic naan and rumali roti. The mutton was amazing. The cuts were beautifully cooked and you could suck the marrow from it. Lastly, the mocktail was fresh, refreshing and served as a great palate cleanser for the rich meal. I have no issues with the quantity as well. This place is well worth the money.",0,0,True,en-IN,Google
"The service here was pretty prompt and the food was good as well. We ordered a Dal Makhani, Paneer tikka masala with naan and laccha Parathas. To our surprise, the size of the bread was very big. The laccha Paratha and Naan was huge as compared to other fine dines, which made us full with less number of breads, which was nice. The gravies tasted good as well. Overall a nice experience and it's a place worth going to.",0,0,True,en-IN,Google
"It's a five roads joint of different places to go, one for ghanta ghar and city, one for garhi Mohalla and Bandakpur Katni road, one for jabalpur road, one for KN College and last one for bus stand Damoh city. This is a one of the big square of the city. Kirti Stambh Square is decorated by fountain and lightings, it's on at evening to night look so beautiful at night.",0,0,True,en-IN,Google
"Low cost. Basic service. But neat & clean, hygienic food. Homely food.",0,0,True,en-IN,Google
"The ambience is very clean & divine with idols of Lords Jagannath, Balabhadra & Subhadra ji, & paintings of RadheKrishna ji, scent of Chandan, & godly music & stuffs. The staffs are caring, the food is light & tasty( veg & without onion, garlic) & one gets the order delivered just in 5 min. A peaceful & soothing atmosphere it is.",0,0,True,en-IN,Google
"improved drastically, the buffet is really good, however please improve your pasta, the rest of the food was * chef kiss *",0,1,False,en-IN,Google
Their Dairy items are really Good. You can get everything at a resonable rates. I have ordered cake and some homemade biscuit and got everything on time with good taste,0,0,True,en-IN,Google
"Taste of the food is always good but the thing is I always get disappointed finding hair follicles in biryani once and now in haleem also, lack of hygiene in food found twice is very dissatisfied.",0,1,False,en-IN,Google
nice place for vegetarian havr order plane which is very nice fot affordable rates.,0,0,True,en-IN,Google
"I have been many times. Usually on weekends. The service will be slow and orders will take time. But this time, I went on a weekday where there was no crowd. I got good service and the food was also good.",0,0,True,en-IN,Google
This is the luxury hotel of the Shalimar Hotel you can get here luxury foods and best qualities it is situated on the front of road so you can find it to easy it is little expensive but its food quality and service qualities are best you can find every types of foods and recipes it is totally full AC so you can feel better here is a parking slot system so you can park your vehicles easily adjust behind it,0,1,False,en-IN,Google
"Its an average place overall. The sitting area is fine. The food taste can not be rated because of no consistency. For a place like Bina, i would rate the Cold Coffee a good thing to taste there. It's a place fine for friends and not something family type. The place needs a lot of improvement atleast in terms of taste.",0,0,True,en-IN,Google
"Frankly speaking a small outlet... but no compromise with the food.. this small outlet is serving good quality food... large variety of drinks, mocktails, shakes r available. It pocket friendly also Enjoyed drinks, sandwich, spring rolls, burger & pizza. Food was good... it a good place to hangout with friends at reasonable rates...",0,0,True,en-IN,Google
Good quality food.. tasty food,0,0,True,en-IN,Google
Nice... Tasty food... Service is also good... Clean hotel... i have tried their paratha and it costs...,0,1,False,en-IN,Google
The food here tastes good but the prices are around expensive one evry dish... It's good to go if you are a fried chiken lover,0,1,False,en-IN,Google
I have ordered single biryani which was costed 200 taste is average. And the quantity is too less. Its worst to feel empty even after spending 200. management should consider this review and Better to change prices or quantity or taste,0,1,False,en-IN,Google
"Nice small outlet of chai sutta bar, was open during early morning hours. ambience was nicely maintained and aesthetic. We had breakfast, had cold coffee, iced tea, and a cheese grill sandwich. They follow self service. No one serves you at your table.",0,0,True,en-IN,Google
"Finally visited after 8 years.. it was awesome & it is awesome & definitely it will be awesome.... Ordered: Mexican rice & Spring Roll & blue mint, fruit punch drinks. Service is much better than other costly cafe they give finger bowl instead of tissue paper... When I visited, there was rush hour & the way of handling all the customer & the Way of behaviour with every customer was very appreciated. Keep it up... The main thing is the quantity & quality of food & price is really very good.. middle class family with proper place... For this place: Remains my Old Ahmedabad Let make it easy for you guys... Parking availability: Service: Hygiene: Sitting arrangement: Ambience: Food Taste: Price: Main attraction:( little darkness exactly like jungle feeling & entrance / menu card) Recommended for Couple & family & friends...!!!",0,1,False,en-IN,Google
Overall experience was good. Hall was little bit small and seats were too comfortable and sound was amazing.,0,1,False,en-IN,Google
"They place is always jam packed. We had to wait at least 15 minutes to get a table to sit. But all I can say that it's worth the wait, especially if you're here for Vadapav. It was amazing. The ambience is decent at best. The food is inexpensive. Overall a nice place to grab a quick bite. # thedelicacyexpress",0,0,True,en-IN,Google
"The best chicken biryani in town is served here! Also lachha paratha and chicken curries tastes amazing! Whether you are veg or a non vegetarian, they have equally good options.",0,0,True,en-IN,Google
"It was nice. Hakka noodles was quite good and so was the cold coffee. The was proper distancing, just the orders were a little slow.",0,0,True,en-IN,Google
"Situated at N V School / Polytechnic College Gulbarga Best Bakery in Gulbarga, best confectioneries are served here, a take home place, rates are bit higher but worth it... Bakery serves only fresh items...",0,0,True,en-IN,Google
"Pocket friendly. Good place to dine with. Tasty, good quality foods are served here since more than last 50 year.",0,1,False,en-IN,Google
Chicken nuggets was soo gooood... and the place was friendly too.. just make time to visit.,0,0,True,en-IN,Google
Taste is good price is very cheep good to try atleast once but let me tell coffee is not that grate if you really know how does good coffee tastes,0,1,False,en-IN,Google
Hall is sufficient to cover medium crowd. Maintenance is good.,0,0,True,en-IN,Google
Food was served for us was very average. We had come to restaurant with some decent expectations. But it fizzed off. Sambar was not tasty and not even hot. Even after we said it is not hot. They did n't even responded i am surprised to see this.,0,1,False,en-IN,Google
"Best multi cuisine restaurant in Thanjavur! It has wide range of food options like continental, Asian and so on. The food is quite expensive but it was worth it! It's a kind of fancy restaurant and suitable for family or friends reunion. The ambience was awesome and the view of Clock Tower was great! It is best to visit here in late evenings and night time. The staffs can work on improving their service. We had ordered for French Fries with Cheese Salsa but instead they gave us plain French Fries. Edit: I visited here for the second time and regretted it. I ordered for Cambodian Grill Fish but ended up receiving a fish that was n't grilled at all. It even tasted bad.",0,1,False,en-IN,Google
Best cafe in kottayam situated opposite to Ceaser Palace. Got ample car parking. Opens upto 12 am. Staffs are super friendly. I am a reqular customer since their initial time. Found best in town at that time. But today sad to say that the items are not consistent in taste wise. Best dishes # Steak with mashed potato and sauted veggies # tikka with afgani rice # crispy fried burger # crumb fried sausages # penne pasta with meat balls # loaded Fries # Club sandwich # Fried samoosa # hot chocolate( advised not to add extra sugar as it is already sweeetened) # Lemon ice tea # juices # waffles # Ceaser salad # Brownie # coffee # shakes # blood Mary mojitos Juicy Lucy burger is not that ones which we get in abroad. Not recommended. Outdoor seating is there. Advised to sit outside if you are planning for a date or a meeting beacuse the music that they are playing is at high volume and can cause irritation. They got a massive 75 inch television for live matches. Got barista machine. Clean and neat washroom is there. Even if you tell them for rare or medium rare beef steak you will get only welldone UPI and POS is there. Never expect taste consistency. There is a delay of almost 20 minutes for all dishes for serving. Quantity and pricing us not propionate. Dessert like caramelized banana with icecrem is good. Kids menu is there.,0,1,False,en-IN,Google
Best Place To Chill.. Belgium Cholclate and fruit lassi will be good.,0,1,False,en-IN,Google
Rather than dining take out and enjoy the awesome biryani with family and friends... Food Taste amazing...,0,0,True,en-IN,Google
This is just like wow very delicious cake & design was also awesome I love it,0,0,True,en-IN,Google
Had breakfast and lunch. All dishes are less spicy just the way we needed and taste was really really good. Hygienic food with great quality.,0,0,True,en-IN,Google
